study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	sra_ftp	sample_alias
PRJNA396794	SAMN07501233	SRS2455921	SRX3121237	SRR5963326	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963326	N4_189_014G1
PRJNA396794	SAMN07501234	SRS2455922	SRX3121238	SRR5963327	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963327	N4_189_020G1
PRJNA396794	SAMN07501235	SRS2455923	SRX3121239	SRR5963328	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963328	N4_189_032G1
PRJNA396794	SAMN07501236	SRS2455924	SRX3121240	SRR5963329	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963329	N4_189_040G1
PRJNA396794	SAMN07501237	SRS2455925	SRX3121241	SRR5963330	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963330	N4_205_011G1
PRJNA396794	SAMN07501238	SRS2455926	SRX3121242	SRR5963331	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963331	N4_205_016G1
PRJNA396794	SAMN07501239	SRS2455927	SRX3121243	SRR5963332	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963332	N4_206_011G1
PRJNA396794	SAMN07501240	SRS2455928	SRX3121244	SRR5963333	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963333	N4_206_016G1
PRJNA396794	SAMN07501241	SRS2455929	SRX3121245	SRR5963334	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963334	N4_206_021G1
PRJNA396794	SAMN07501242	SRS2455931	SRX3121246	SRR5963335	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963335	N4_206_038G1
PRJNA396794	SAMN07501243	SRS2455930	SRX3121247	SRR5963336	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963336	N4_206_052G1
PRJNA396794	SAMN07501244	SRS2455932	SRX3121248	SRR5963337	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963337	N4_207_008G1
PRJNA396794	SAMN07501245	SRS2455933	SRX3121249	SRR5963338	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963338	N4_207_009G1
PRJNA396794	SAMN07501246	SRS2455934	SRX3121250	SRR5963339	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963339	N4_207_024G1
PRJNA396794	SAMN07501247	SRS2455935	SRX3121251	SRR5963340	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963340	N4_207_028G1
PRJNA396794	SAMN07501248	SRS2455936	SRX3121252	SRR5963341	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963341	N4_208_008G1
PRJNA396794	SAMN07501249	SRS2455937	SRX3121253	SRR5963342	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963342	N4_208_009G1
PRJNA396794	SAMN07501250	SRS2455938	SRX3121254	SRR5963343	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963343	N4_208_014G1
PRJNA396794	SAMN07501251	SRS2455939	SRX3121255	SRR5963344	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963344	N4_208_021G1
