study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB6456	SAMEA2580175	ERX491193	ERR525958	330	24862281	4964063130
PRJEB6456	SAMEA2580176	ERX491194	ERR525959	341	22761006	4536676330
PRJEB6456	SAMEA2580177	ERX491195	ERR525960	340	23267698	4641101620
PRJEB6456	SAMEA2580178	ERX491196	ERR525961	340	23617551	4708330550
PRJEB6456	SAMEA2580179	ERX491197	ERR525962	338	19033734	3789394230
PRJEB6456	SAMEA2580180	ERX491198	ERR525963	339	22471550	4482520460
PRJEB6456	SAMEA2580181	ERX491199	ERR525964	337	20643408	4120328300
PRJEB6456	SAMEA2580182	ERX491200	ERR525965	326	21410834	4270379740
PRJEB6456	SAMEA2580183	ERX491201	ERR525966	339	15787855	3150406550
PRJEB6456	SAMEA2580184	ERX491202	ERR525967	333	20934092	4176516230
PRJEB6456	SAMEA2580185	ERX491203	ERR525968	339	24133660	4814972870
PRJEB6456	SAMEA2580186	ERX491204	ERR525969	341	16622338	3303868440
PRJEB6456	SAMEA2580187	ERX491205	ERR525970	342	26689400	5329560490
PRJEB6456	SAMEA2580188	ERX491206	ERR525971	340	21289222	4243728400
PRJEB6456	SAMEA2580189	ERX491207	ERR525972	338	18985385	3788264100
PRJEB6456	SAMEA2580190	ERX491208	ERR525973	334	20098466	4005926220
PRJEB6456	SAMEA2580191	ERX491209	ERR525974	344	18348898	3657729090
PRJEB6456	SAMEA2580192	ERX491210	ERR525975	332	18765639	3738725220
PRJEB6456	SAMEA2580193	ERX491211	ERR525976	332	20228584	4036828080
PRJEB6456	SAMEA2580194	ERX491212	ERR525977	332	16633485	3306730650
PRJEB6456	SAMEA2580195	ERX491213	ERR525978	331	685774	136915240
PRJEB6456	SAMEA2580196	ERX491214	ERR525979	329	18432206	3674522250
PRJEB6456	SAMEA2580197	ERX491215	ERR525980	331	19880014	3961359480
PRJEB6456	SAMEA2580198	ERX491216	ERR525981	336	16112302	3205613270
PRJEB6456	SAMEA2580199	ERX491217	ERR525982	336	22386151	4470493620
PRJEB6456	SAMEA2580200	ERX491218	ERR525983	342	21866098	4359720570
PRJEB6456	SAMEA2580201	ERX491219	ERR525984	340	20928753	4175899520
PRJEB6456	SAMEA2580202	ERX491220	ERR525985	344	22176168	4422995370
PRJEB6456	SAMEA2580203	ERX491221	ERR525986	340	22351128	4460024090
PRJEB6456	SAMEA2580204	ERX491222	ERR525987	339	21985877	4385125140
PRJEB6456	SAMEA2580205	ERX491223	ERR525988	340	19757699	3941382290
PRJEB6456	SAMEA2580206	ERX491224	ERR525989	332	18314094	3648766130
PRJEB6456	SAMEA2580207	ERX491225	ERR525990	345	15696168	3123576880
PRJEB6456	SAMEA2580208	ERX491226	ERR525991	345	18168365	3619972030
PRJEB6456	SAMEA2580209	ERX491227	ERR525992	337	19468229	3882970170
PRJEB6456	SAMEA2580210	ERX491228	ERR525993	338	24590995	4906380410
PRJEB6456	SAMEA2580211	ERX491229	ERR525994	338	16132660	3207281700
PRJEB6456	SAMEA2580212	ERX491230	ERR525995	343	22052375	4399489730
PRJEB6456	SAMEA2580213	ERX491231	ERR525996	334	18863282	3766837200
PRJEB6456	SAMEA2580214	ERX491232	ERR525997	346	19885371	3967027780
PRJEB6456	SAMEA2580215	ERX491233	ERR525998	343	16188505	3232583530
PRJEB6456	SAMEA2580216	ERX491234	ERR525999	336	18302021	3652085330
PRJEB6456	SAMEA2580217	ERX491235	ERR526000	346	22805840	4549810140
PRJEB6456	SAMEA2580218	ERX491236	ERR526001	331	15709245	3121356520
PRJEB6456	SAMEA2580219	ERX491237	ERR526002	338	17337731	3465194730
PRJEB6456	SAMEA2580220	ERX491238	ERR526003	330	20098890	4001224830
PRJEB6456	SAMEA2580221	ERX491239	ERR526004	337	25009176	4993402070
PRJEB6456	SAMEA2580222	ERX491240	ERR526005	342	24604889	4910858020
PRJEB6456	SAMEA2580223	ERX491241	ERR526006	341	21460344	4285211930
PRJEB6456	SAMEA2580224	ERX491242	ERR526007	340	24466248	4881194180
PRJEB6456	SAMEA2580225	ERX491243	ERR526008	335	22807740	4553467660
PRJEB6456	SAMEA2580226	ERX491244	ERR526009	340	24185590	4828505260
PRJEB6456	SAMEA2580227	ERX491245	ERR526010	340	14993225	2987910670
PRJEB6456	SAMEA2580228	ERX491246	ERR526011	335	19269470	3843691760
PRJEB6456	SAMEA2580229	ERX491247	ERR526012	340	24561450	4900476660
PRJEB6456	SAMEA2580230	ERX491248	ERR526013	328	21693963	4328074950
PRJEB6456	SAMEA2580231	ERX491249	ERR526014	340	17982593	3591269940
PRJEB6456	SAMEA2580232	ERX491250	ERR526015	341	19223768	3833699830
PRJEB6456	SAMEA2580233	ERX491251	ERR526016	335	26917555	5371228420
PRJEB6456	SAMEA2580234	ERX491252	ERR526017	336	19008148	3789274890
PRJEB6456	SAMEA2580235	ERX491253	ERR526018	342	14162913	2818107510
PRJEB6456	SAMEA2580236	ERX491254	ERR526019	336	18319189	3649223410
PRJEB6456	SAMEA2580237	ERX491255	ERR526020	335	18415285	3673020930
