study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB32631	SAMEA5616700	ERX3428610	ERR3404958	500	9048599	2182655875
PRJEB32631	SAMEA5617681	ERX3428611	ERR3404959	500	7905351	1907831159
PRJEB32631	SAMEA5617684	ERX3428612	ERR3404960	500	8129348	1962101264
PRJEB32631	SAMEA5616706	ERX3428613	ERR3404961	500	9992357	2423464846
PRJEB32631	SAMEA5616712	ERX3428614	ERR3404962	500	10884080	2648592252
PRJEB32631	SAMEA5617661	ERX3428615	ERR3404963	500	11000056	2676061004
PRJEB32631	SAMEA5616703	ERX3428616	ERR3404964	500	14241612	3483908532
PRJEB32631	SAMEA5617687	ERX3428617	ERR3404965	500	9594066	2307888124
PRJEB32631	SAMEA5616704	ERX3428618	ERR3404966	500	11950665	2902086835
PRJEB32631	SAMEA5617676	ERX3428619	ERR3404967	500	9463239	2278308422
PRJEB32631	SAMEA5616709	ERX3428620	ERR3404968	500	9834242	2379989417
PRJEB32631	SAMEA5617679	ERX3428621	ERR3404969	500	9145938	2214682858
PRJEB32631	SAMEA5616707	ERX3428622	ERR3404970	500	8178741	1975488764
PRJEB32631	SAMEA5617688	ERX3428623	ERR3404971	500	9434884	2278781271
PRJEB32631	SAMEA5617689	ERX3428624	ERR3404972	500	7368170	1770173433
PRJEB32631	SAMEA5616710	ERX3428625	ERR3404973	500	8770643	2112754087
PRJEB32631	SAMEA5616723	ERX3428626	ERR3404974	500	10394645	2516156278
PRJEB32631	SAMEA5616725	ERX3428627	ERR3404975	500	10564911	2559472062
PRJEB32631	SAMEA5616713	ERX3428628	ERR3404976	500	7796548	1871666523
PRJEB32631	SAMEA5616702	ERX3428629	ERR3404977	500	7233133	1731416470
PRJEB32631	SAMEA5617698	ERX3428630	ERR3404978	500	9504493	2297796142
PRJEB32631	SAMEA5616731	ERX3428631	ERR3404979	500	9713786	2353997261
PRJEB32631	SAMEA5616728	ERX3428632	ERR3404980	500	8279452	1988095199
PRJEB32631	SAMEA5616701	ERX3428633	ERR3404981	500	6719480	1607754712
PRJEB32631	SAMEA5616721	ERX3428634	ERR3404982	500	9388108	2272712407
PRJEB32631	SAMEA5616719	ERX3428635	ERR3404983	500	10713793	2592746210
PRJEB32631	SAMEA5617692	ERX3428636	ERR3404984	500	8875076	2132058102
PRJEB32631	SAMEA5617693	ERX3428637	ERR3404985	500	7823024	1880148605
PRJEB32631	SAMEA5617683	ERX3428638	ERR3404986	500	9024530	2183808224
PRJEB32631	SAMEA5617666	ERX3428639	ERR3404987	500	8123855	1957513997
PRJEB32631	SAMEA5617690	ERX3428640	ERR3404988	500	8733961	2098875312
PRJEB32631	SAMEA5617691	ERX3428641	ERR3404989	500	9288974	2232635948
PRJEB32631	SAMEA5617662	ERX3428642	ERR3404990	500	9416258	2275713997
PRJEB32631	SAMEA5616722	ERX3428643	ERR3404991	500	10314129	2497280390
PRJEB32631	SAMEA5616716	ERX3428644	ERR3404992	500	9289316	2253007358
PRJEB32631	SAMEA5617694	ERX3428645	ERR3404993	500	8877349	2146646474
PRJEB32631	SAMEA5617672	ERX3428646	ERR3404994	500	11942186	2910871652
PRJEB32631	SAMEA5617695	ERX3428647	ERR3404995	500	6123684	1467541933
PRJEB32631	SAMEA5617696	ERX3428648	ERR3404996	500	7347711	1768599724
PRJEB32631	SAMEA5616720	ERX3428649	ERR3404997	500	10156467	2476379237
PRJEB32631	SAMEA5616726	ERX3428650	ERR3404998	500	12292279	3007480063
PRJEB32631	SAMEA5617703	ERX3428651	ERR3404999	500	9012428	2181301006
PRJEB32631	SAMEA5616714	ERX3428652	ERR3405000	500	9164427	2219638354
PRJEB32631	SAMEA5618328	ERX3428653	ERR3405001	500	9589494	2323491072
PRJEB32631	SAMEA5617705	ERX3428654	ERR3405002	500	10214986	2478499165
PRJEB32631	SAMEA5617697	ERX3428655	ERR3405003	500	8082431	1947591473
PRJEB32631	SAMEA5616729	ERX3428656	ERR3405004	500	7922686	1920929606
PRJEB32631	SAMEA5618338	ERX3428657	ERR3405005	500	9400875	2298029985
PRJEB32631	SAMEA5617700	ERX3428658	ERR3405006	500	5965849	1435473564
PRJEB32631	SAMEA5617701	ERX3428659	ERR3405007	500	8188101	1985770050
PRJEB32631	SAMEA5617673	ERX3428660	ERR3405008	500	9900916	2411423352
PRJEB32631	SAMEA5618341	ERX3428661	ERR3405009	500	10374653	2523207197
PRJEB32631	SAMEA5616732	ERX3428662	ERR3405010	500	10341220	2516401998
PRJEB32631	SAMEA5618336	ERX3428663	ERR3405011	500	10803970	2625010304
PRJEB32631	SAMEA5618327	ERX3428664	ERR3405012	500	8940900	2174387746
PRJEB32631	SAMEA5617709	ERX3428665	ERR3405013	500	7894188	1907183172
PRJEB32631	SAMEA5617707	ERX3428666	ERR3405014	500	9301459	2258284946
PRJEB32631	SAMEA5617711	ERX3428667	ERR3405015	500	9186508	2229615360
PRJEB32631	SAMEA5617710	ERX3428668	ERR3405016	500	9761161	2372958806
PRJEB32631	SAMEA5617714	ERX3428669	ERR3405017	500	8854652	2144794831
PRJEB32631	SAMEA5618348	ERX3428670	ERR3405018	500	10339214	2514585171
PRJEB32631	SAMEA5618337	ERX3428671	ERR3405019	500	13049192	3196434326
PRJEB32631	SAMEA5617674	ERX3428672	ERR3405020	500	8667675	2097519688
PRJEB32631	SAMEA5616733	ERX3428673	ERR3405021	500	8448564	2053626668
